Probe_ID	Gene_ID	Assay_Normalized_Signal_HB00E8F_5/25/07_12:10_PM	CV_HB00E8F_5/25/07_12:10_PM	Flags_HB00E8F_5/25/07_12:10_PM
101359	hCG1783255.3	0.18	16.15	1
101361	hCG1994049	2.58	2.04	1
101365	hCG38189.3	4130.89	0.03	0
101368	hCG15541.3	0.45	3.52	1
101370	hCG172489.3	4.32	0.11	0
101374	hCG2033382	1.13	3.07	1
101377	hCG40179.2	0.41	18.74	1
101381	hCG24751.3	3.65	0.05	0
101387	hCG41776.3	1.37	2.35	1
101391	hCG23195.2	1.44	0.21	0
101395	hCG21943.2	0.14	0.32	131073
101397	hCG29123.2	10.69	0.04	0
101403	hCG1640313.3	0.25	0.78	0
101404	hCG22399.3	36.19	0.04	0
101408	hCG26607.2	4.44	0.09	0
101413	hCG31131.2	0.62	0.39	0
101431	hCG2041873.1	4.18	1.94	1
101441	hCG2008794	372.67	0.02	0
101444	hCG25639.2	0.21	1.82	1
101445	hCG2040219	13.83	0.04	0
101446	hCG1783145.1	1.13	3.25	1
101447	hCG1995472.2	28.16	0.03	0
101482	hCG1817472.1	0.28	0.61	0
101487	hCG2044144	2.25	0.12	0
101498	hCG1743503.3	161.04	0.03	0
101499	hCG22939.2	1.41	0.54	0
101505	hCG1805671.2	0.35	0.63	0
101506	hCG36806.4	1.8	0.13	0
101509	hCG16972.4	1.98	1.06	1
101511	hCG2006623	1.26	0.35	0
101513	hCG1814860.1	0.25	0.93	0
101518	hCG1647089.3	0.17	2.79	1
101520	hCG1995683	0.21	3.27	1
101526	hCG2032281	25.41	0.03	0
101527	BX647826.1	0.99	0.18	0
101538	hCG2040470	3.95	0.12	0
101549	hCG1778947.2	1.06	1.53	1
101552	hCG1774547.3	0.13	0.49	1
101555	hCG2039391.1	0.3	1.45	1
101559	hCG41292.3	0.83	0.31	0
101561	hCG1651644.2	0.4	2.32	1
101566	hCG32039.2	2.98	0.11	0
101569	hCG1749892.4	0.34	0.45	0
101570	hCG37742.4	1.93	0.33	0
101574	hCG2022707	0.9	1.14	1
101575	hCG2041141	0.34	0.55	1
101584	hCG17104.3	1.52	0.21	0
101588	hCG16540.3	156.84	0.03	0
101589	hCG34448.3	1.62	0.25	0
101592	hCG1646415.3	0.71	2.36	1
101594	hCG1770728.3	2.19	6.75	1
101597	hCG18785.3	0.67	1.48	1
101598	hCG1811094.4	0.48	0.8	1
101603	hCG23201.2	2.23	0.26	0
101611	hCG41291.3	64.82	0.02	0
101616	hCG18604.3	1.26	2.1	1
101623	hCG23684.3	0.4	1.63	1
101641	hCG32959.3	5.26	1.02	1
101645	hCG1777418.2	0.7	2.02	1
101647	hCG2040859	2.36	0.09	0
101648	hCG38367.2	1.71	0.18	0
101654	hCG40167.2	0.62	0.55	0
101655	hCG23753.3	13.85	0.05	0
101663	hCG24464.3	1.19	0.36	0
101664	hCG2041275	0.66	0.32	0
101666	hCG15988.3	0.19	7.24	1
101670	hCG1996245	15.03	0.03	0
101676	hCG27483.2	21.17	0.03	0
101678	hCG2030528.1	0.5	1.51	1
101680	hCG2019616.1	11.43	0.04	0
101686	hCG33169.3	0.39	5.29	1
101687	hCG2005453	19.45	0.04	0
101688	hCG2022757.1	209.78	0.04	0
101692	hCG15832.4	45.14	0.04	0
101693	hCG26528.2	3.92	0.08	0
101695	BC065757.1	1.08	0.18	0
101703	hCG22293.2	0.64	4.22	1
101711	hCG401201.3	28.87	0.04	0
101721	hCG1744657.2	0.45	1.53	1
101722	hCG24419.2	0.18	1.41	1
101725	hCG1810759.1	6.25	0.05	0
101736	hCG2040209	0.6	0.26	0
101738	hCG27752.3	0.66	0.2	0
101742	hCG1811072.3	0.11	5.35	1
101745	hCG1811342.1	0.54	0.68	0
101754	hCG38809.3	56.96	0.02	0
101755	hCG2043559	38.55	0.05	0
101757	hCG2016935	0.64	1.33	1
101759	hCG38048.3	0.56	0.33	0
101760	hCG1659830.3	9.89	0.04	0
101762	hCG73093.3	180.89	0.03	0
101768	hCG1804868.2	0.91	1.48	1
101775	hCG2042114	1.84	0.51	0
101777	hCG1644330.4	0.92	0.72	0
101781	hCG2019319.1	42.19	0.02	0
101783	hCG2040983	0.42	3.5	1
101798	hCG15465.3	0.48	1.94	1
101799	hCG2032408	13.97	0.05	0
101800	hCG38603.2	0.98	0.46	0
101802	hCG1811956.1	0.5	0.49	0
101811	hCG15392.3	1108.81	0.02	0
101814	hCG1639849.3	0.63	1.35	1
101815	hCG1770263.2	275.65	0.02	0
101821	hCG1786994.2	4.36	0.05	0
101835	hCG2028955.1	7.59	0.09	0
101843	hCG1777263.4	0.33	12.12	1
101844	hCG32201.1	80.04	0.02	0
101845	hCG40642.3	18.02	0.03	0
101854	hCG2041495	0.45	4.7	1
101855	hCG28248.2	4.96	0.1	0
101860	hCG15638.2	0.55	1.03	1
101862	hCG1642675.5	1.89	0.55	0
101863	hCG2040356	1.08	1.61	1
101867	hCG2025357	2142.35	0.03	0
101876	hCG2041303	0.81	2.71	1
101878	hCG21838.2	0.45	2.73	1
101887	hCG2036972	35.81	0.02	0
101893	hCG40292.3	28.45	0.04	0
101899	hCG2036570	2.43	0.24	0
101908	hCG1657335.3	2.38	0.11	0
101912	hCG22331.2	0.67	1	1
101913	hCG28895.3	0.62	4.71	1
101917	hCG23841.2	0.74	14.16	1
101929	hCG40234.2	1.6	0.14	0
101930	hCG1987281.1	0.69	0.94	0
101931	hCG1641339.3	137.72	0.03	0
101946	hCG1784975.1	64.81	0.03	0
101948	hCG2036941	0.94	2.75	1
101949	hCG1790474.1	1.57	0.24	0
101955	hCG27227.3	1.75	1.12	1
